TotInt_126C_MAN1353,TotInt_127N_MAN1353,TotInt_127C_MAN1353,TotInt_128N_MAN1353,TotInt_128C_MAN1353,TotInt_129N_MAN1353,TotInt_129C_MAN1353,TotInt_130N_MAN1353,TotInt_130C_MAN1353,TotInt_131N_MAN1353
0,0,0,0,0,0,0,0,0,0
9506.193359,7274.64502,0,531.600159,4790.8125,4197.775879,0,0,2150.954102,600.864502
0,0,0,0,0,0,0,0,0,0
114594.0547,437574.75,504.275024,32431.68555,244706.6406,322987.3125,493.245789,15305.39453,475.350922,0
3326.537109,1227.027954,0,0,2049.931152,540.496033,0,0,428.327148,0
24566.04102,18305.07422,1114.642578,2181.351562,13115.93848,8544.530273,670.413147,715.074951,5667.770996,2171.044678
6661.92041,4298.723145,684.582336,0,5627.563965,2495.639648,0,0,1870.982178,0
17342.80859,10444.94043,547.702515,468.012573,9715.438477,3505.353516,0,0,4058.532715,2245.958984
3647.938232,3401.67627,0,419.472473,2114.496582,1027.862183,0,0,506.056824,0
4642.425781,3338.338135,0,0,2407.469482,2111.506348,0,0,791.31366,450.179047
7273.388184,6896.149414,657.743835,0,6432.395508,3903.704834,0,0,917.654236,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
25316.07617,21585.80469,1944.196411,1214.318359,17150.64453,12236.95996,1036.051025,479.915588,6460.46582,2556.05542
92046.96484,108109.4805,5814.054443,10058.2146,72470.44141,40503.57422,4629.031494,2287.727569,20497.92285,13742.39014
57931.73047,46713.83203,4859.297363,3569.814941,33137.76172,22324.98242,1062.783936,1127.931885,10148.05371,7411.813965
24302.41016,18430.17969,1113.864502,2366.594238,13455.77832,10467.17871,548.513245,0,6041.364258,2356.525635
33865.14453,25746.38867,884.695435,1136.837646,19830.63672,12751.35742,511.723969,0,7658.519043,4157.859375
46468.88672,39736.46875,2520.413574,2205.963379,27529.57227,19655.91211,551.724426,551.367432,8797.779297,5021.65625
131140.5566,102079.8789,1184.219482,4537.700866,86455.19336,53405.72168,2159.709229,805.874939,23996.60645,15493.89624
155741.7344,113588.6719,10070.81055,7868.143066,92356.59375,61010.34766,6281.226074,2173.664307,32018.89258,19756.08789
107393.8828,71718.25781,6331.230469,4993.59375,63560.33984,38048.19531,4481.773438,3015.763672,24429.79102,14273.91504
61795.26953,41798.41406,4297.708008,2692.34082,31702.41016,17989.0625,840.862305,1193.305664,12219.62598,7691.65332
93530.69531,68300.76563,5529.193359,3058.650146,55951.19922,37033.47656,2539.865723,602.195312,20893.69922,9900.084961
15227.85547,10468.94922,944.202393,940.661438,8086.803223,5451.802246,0,0,2411.81958,1903.813965
39329.23047,28759.85938,1199.565796,2383.899414,23798.67383,15538.52637,550.037598,544.18689,8218.34375,4148.919922
116420.3359,82272.19531,5178.255859,3340.887695,68771.96094,42896.94531,2060.266113,657.084961,27186.00195,13381.8584
36580.60156,26417.9668,2013.671265,1207.974731,20049.66016,15638.83008,421.478516,464.598907,6121.593262,5617.246582
102542.5547,81533.73438,6212.242188,4293.17334,66427.02344,43382.32422,3439.970215,1228.074829,18745.68359,10822.99121
26425.30859,20882.57422,772.689941,578.135925,18151.73047,10080.94922,645.099854,0,7613.885742,2289.695068
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
27163.09766,20103.4165,899.189331,830.299072,18740.29517,9390.952698,538.370483,0,6675.293457,2963.948486
223319.2266,152873.3906,15536.70166,12435.96851,124299.5469,73230.06836,7751.335083,3651.0625,50254.33008,27338.58203
40382.13672,31750.24219,2129.637939,1006.647583,25134.28711,18320.42969,501.925079,0,8982.939453,5895.517578
136995.4063,130118.7813,0,7303.210449,88132.52344,60540.39844,4644.442871,3179.044922,22824.13672,14086.84668
120654.6563,97513.70313,0,4622.055176,69984.10156,49931.30469,2004.164673,1079.571899,21989.02734,13192.42285
8580.919922,6128.765625,0,0,5996.225098,3919.823486,0,0,786.771545,627.249756
27476.30371,23974.32031,763.413879,738.995789,21654.04736,14404.47803,477.570038,0,6632.814453,1951.07135
0,0,0,0,0,0,0,0,0,0
4215.224121,2924.430908,0,0,1743.283936,1138.184082,0,0,646.375,0
23373.78125,17727.81836,1109.956665,902.995056,13679.2627,9567.045898,690.465332,727.497192,5529.20166,2341.730957
30521.68164,19638.52344,3381.650635,2083.917725,15001.37891,9785.931641,848.359558,823.108032,6244.837402,3838.431396
7066.486816,6569.631348,0,0,5088.962891,2370.50708,0,0,883.069763,517.500366
14162.14258,11496.50098,1190.667114,701.798096,8200.136719,6260.282227,557.252686,0,3648.562012,1077.689941
13127.43262,10121.82031,686.854187,0,7378.820312,5572.117188,413.499023,0,2592.337646,1178.928467
3411.045654,3235.218018,0,0,2244.901367,953.276855,0,0,573.386353,0
70378.84375,48134.79688,5674.330566,3520.876465,37000.88281,24288.24805,881.918823,0,12776.35547,5237.514648
95488.88281,73574.72656,6804.371094,5214.149414,62560.31641,33625.55469,2747.150146,2194.089844,23383.33984,13332.84668
165945.5156,111546.2734,15015.89941,10836.09668,99514.08594,59627.59766,6465.270508,5426.218262,32677.04102,17606.13672
54273.86719,40994.39063,2586.601074,961.179382,31419.19141,18123.08984,655.684814,0,9683.378906,5395.654785
92415.4375,71006.875,6528.586426,3947.271729,51645.8125,33736.66797,2993.002441,0,17766.63086,9874.862305
25750.90234,21608.31641,2253.826416,2422.351562,15627.44922,11982.95117,512.695923,500.772217,4853.301758,3071.138916
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
